true_label,base_pred,fpp_pred,fpp_confidence,base_correct,fpp_correct,improved,worsened,attack_strategy
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,1,1,1.0,False,False,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,0,0,1.0,False,False,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,1,1,1.0,False,False,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,1,1,1.0,False,False,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,1,1,1.0,False,False,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,1,1,1.0,False,False,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,0,0,1.0,False,False,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,0,0,1.0,False,False,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,1,1,1.0,False,False,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,0,0,1.0,False,False,False,False,synonym_strong
1,0,0,1.0,False,False,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,0,0,1.0,False,False,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,1,1,1.0,False,False,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,0,0,1.0,False,False,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,1,1,1.0,False,False,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,0,0,1.0,False,False,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,0,0,1.0,False,False,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,0,0,1.0,False,False,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,0,0,1.0,False,False,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,1,1,1.0,False,False,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,0,0,1.0,False,False,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,0,0,1.0,False,False,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,0,0,1.0,False,False,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,0,0,1.0,False,False,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,1,1,1.0,False,False,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,1,1,1.0,False,False,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,0,0,1.0,False,False,False,False,synonym_strong
1,0,0,1.0,False,False,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,0,0,1.0,False,False,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,1,1,1.0,False,False,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,1,1,1.0,False,False,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,1,1,1.0,False,False,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,1,1,1.0,False,False,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,0,0,1.0,False,False,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,0,0,1.0,False,False,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,1,1,1.0,False,False,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
0,0,0,1.0,True,True,False,False,synonym_strong
1,1,1,1.0,True,True,False,False,synonym_strong
